Country,Continent,Region
Kosovo,Europe,Balkans
Afghanistan,Asia,Central Asia
Western Sahara,Africa,North Africa
Albania,Europe,Balkans
Algeria,Africa,North Africa
,,
Andorra,Europe,Southern Europe
Angola,Africa,Central Africa
,,
Antigua and Barbuda,North America,Caribbean
Argentina,South America,Latin America
Armenia,Europe,Transcaucasia
Aruba,North America,Caribbean
Australia,Oceania,Australasia
Austria,Europe,Western Europe
Azerbaijan,Europe,Transcaucasia
Bahamas,North America,Caribbean
Bahrain,Asia,Middle East
Bangladesh,Asia,South Asia
Barbados,North America,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,North America,Caribbean
Benin,Africa,West Africa
Bermuda,North America,Caribbean
Bhutan,Asia,South Asia
Bolivia,South America,Latin America
Bosnia and Herzegovina,Europe,Balkans
Botswana,Africa,Southern Africa
Brazil,South America,Latin America
,,
Brunei,Asia,SouthEast Asia
Bulgaria,Europe,Balkans
Burkina Faso,Africa,West Africa
Burundi,Africa,East Africa
Cambodia,Asia,SouthEast Asia
Cameroon,Africa,Central Africa
Canada,North America,USA/Canada
Cape Verde,Africa,West Africa
Cayman Islands,North America,Caribbean
Central African Republic,Africa,Central Africa
Chad,Africa,Central Africa
,,
Chile,South America,Latin America
China,Asia,Far East
,,
,,
Colombia,South America,Latin America
Comoros,Africa,East Africa
"Congo, Dem. Rep.",Africa,Central Africa
"Congo, Rep.",Africa,Central Africa
,,
Costa Rica,North America,Latin America
Cote d'Ivoire,Africa,West Africa
Croatia,Europe,Balkans
Cuba,North America,Latin America
Cyprus,Europe,Southern Europe
Czech Republic,Europe,Eastern Europe
,,
Denmark,Europe,Northern Europe
Djibouti,Africa,East Africa
Dominica,North America,Caribbean
Dominican Republic,North America,Latin America
,,
Ecuador,South America,Latin America
Egypt,Africa,Middle East
El Salvador,North America,Latin America
Equatorial Guinea,Africa,Central Africa
Eritrea,Africa,East Africa
,,
Estonia,Europe,Northern Europe
Ethiopia,Africa,East Africa
,,
,,
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
,,
,,
Gabon,Africa,Central Africa
Gambia,Africa,West Africa
Georgia,Europe,Transcaucasia
Germany,Europe,Western Europe
Ghana,Africa,West Africa
,,
Greece,Europe,Southern Europe
Greenland,North America,Northern Europe
Grenada,North America,Caribbean
,,
,,
Guatemala,North America,Latin America
,,
Guinea,Africa,West Africa
Guinea-Bissau,Africa,West Africa
Guyana,South America,Latin America
Haiti,North America,Latin America
,,
Honduras,North America,Latin America
"Hong Kong, China",Asia,Far East
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,South Asia
Indonesia,Asia,SouthEast Asia
Iran,Asia,Middle East
Iraq,Asia,Middle East
Ireland,Europe,Western Europe
,,
Israel,Asia,Middle East
Italy,Europe,Southern Europe
Jamaica,North America,Caribbean
Japan,Asia,Far East
,,
Jordan,Asia,Middle East
Kazakhstan,Asia,Central Asia
Kenya,Africa,East Africa
Kiribati,Oceania,Micronesia
North Korea,Asia,Far East
South Korea,Asia,Far East
,,
,,
Kuwait,Asia,Middle East
Kyrgyzstan,Asia,Central Asia
Lao,Asia,SouthEast Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Middle East
Lesotho,Africa,Southern Africa
Liberia,Africa,West Africa
Libya,Africa,North Africa
,,
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
"Macao, China",Asia,Far East
"Macedonia, FYR",Europe,Balkans
Madagascar,Africa,East Africa
Malawi,Africa,Southern Africa
Malaysia,Asia,SouthEast Asia
Maldives,Asia,South Asia
Mali,Africa,West Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
,,
Mauritania,Africa,West Africa
Mauritius,Africa,East Africa
,,
Mexico,North America,Latin America
"Micronesia, Fed. Sts.",Oceania,Micronesia
Moldova,Europe,Eastern Europe
Monaco,Europe,Southern Europe
Mongolia,Asia,Far East
Montenegro,Europe,Balkans
,,
Morocco,Africa,North Africa
Mozambique,Africa,Southern Africa
Myanmar,Asia,SouthEast Asia
Namibia,Africa,Southern Africa
Nauru,Oceania,Micronesia
Nepal,Asia,South Asia
Netherlands,Europe,Western Europe
,,
,,
New Zealand,Oceania,Australasia
,,
Nicaragua,North America,Latin America
Niger,Africa,West Africa
Nigeria,Africa,West Africa
,,
,,
,,
,,
Norway,Europe,Northern Europe
Oman,Asia,Middle East
Pakistan,Asia,South Asia
Palau,Asia,Micronesia
Panama,North America,Latin America
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,Latin America
Peru,South America,Latin America
Philippines,Asia,SouthEast Asia
,,
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Puerto Rico,North America,Latin America
Qatar,Asia,Middle East
,,
Romania,Europe,Balkans
Russia,Europe,Eastern Europe
Rwanda,Africa,East Africa
,,
,,
Saint Kitts and Nevis,North America,Caribbean
Saint Lucia,North America,Caribbean
,,
Saint Vincent and the Grenadines,North America,Caribbean
,,
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Central Africa
Saudi Arabia,Asia,Middle East
Senegal,Africa,West Africa
Serbia,Europe,Balkans
,,
,,
Seychelles,Africa,East Africa
Sierra Leone,Africa,West Africa
Singapore,Asia,SouthEast Asia
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Balkans
Solomon Islands,Oceania,Melanesia
Somalia,Africa,East Africa
,,
South Africa,Africa,Southern Africa
,,
Spain,Europe,Southern Europe
Sri Lanka,Asia,South Asia
Sudan,Africa,East Africa
Suriname,South America,Caribbean
,,
Swaziland,Africa,Southern Africa
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,Middle East
Taiwan,Asia,Far East
Tajikistan,Asia,Central Asia
Tanzania,Africa,East Africa
Thailand,Asia,SouthEast Asia
Timor-Leste,Asia,SouthEast Asia
Togo,Africa,West Africa
,,
Tonga,Oceania,Polynesia
,,
Trinidad and Tobago,North America,Caribbean
Tunisia,Africa,North Africa
Turkey,Europe,Middle East
Turkmenistan,Asia,Central Asia
Turks and Caicos Islands,North America,Caribbean
Tuvalu,Oceania,Polynesia
Uganda,Africa,East Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Middle East
United Kingdom,Europe,Western Europe
United States,North America,USA/Canada
Uruguay,South America,Latin America
,,
Uzbekistan,Asia,Central Asia
,,
Vanuatu,Oceania,Melanesia
Venezuela,South America,Latin America
Palestine,Asia,Middle East
,,
,,
Vietnam,Asia,SouthEast Asia
,,
,,
,,
Yemen,Asia,Middle East
,,
Zambia,Africa,Southern Africa
Zimbabwe,Africa,Southern Africa
,,
South Sudan,Africa,East Africa
